SCC ID,URLs
119,['https://www.untref.edu.ar/soevo-orientacion-vocacional']
120,['https://www.untref.edu.ar/tutoriales']
121,['https://www.untref.edu.ar/untref-deportes']
122,['https://www.untref.edu.ar/untref-corre']
123,['https://www.untref.edu.ar/talleres-y-seminarios']
124,['https://www.untref.edu.ar/cursos']
125,['https://www.untref.edu.ar/doble-carrera-deporte-universidad']
126,['https://www.untref.edu.ar/trio-de-cuerdas-untref-extension']
127,['https://www.untref.edu.ar/escuela-de-tango-y-danzas-tradicionales']
128,['https://www.untref.edu.ar/investigacion-y-desarrollo']
129,['https://www.untref.edu.ar/institutos']
130,['https://www.untref.edu.ar/programa-de-estudios-posdoctorales']
131,['https://www.untref.edu.ar/convocatorias']
132,['https://www.untref.edu.ar/ventanillas']
133,['https://www.untref.edu.ar/sigeva-cvar']
134,['https://www.untref.edu.ar/unidades-de-investigacion-untref']
135,['https://www.untref.edu.ar/vigilancia-tecnologica-y-propiedad-intelectual']
136,['https://www.untref.edu.ar/study-abroad']
137,['https://www.untref.edu.ar/cooperacion-internacional']
138,['https://www.untref.edu.ar/suscripcion']
139,['https://www.untref.edu.ar/docentes_departamento']
140,['https://www.untref.edu.ar/sedes']
141,['https://www.untref.edu.ar/autoridades']
142,['https://www.untref.edu.ar/mundountref/el-curso-de-ingreso-sera-intensivo-y-abarcara-los-meses-de-febrero-y-marzo']
143,['https://www.untref.edu.ar/mundountref/crisis-economica-la-argentina-decrece-en-una-region-que-intenta-prosperar']
144,['https://www.untref.edu.ar/mundountref/eric-sadin-el-origen-de-la-locura-es-cuando-ya-nadie-cree-en-nada']
145,['https://www.untref.edu.ar/mundountref/las-inscripciones-para-las-carreras-de-grado-2025-comenzaran-el-7-de-octubre']
146,['https://www.untref.edu.ar/mundountref/katopodis-y-kaufmann-firmaron-un-acuerdo-para-terminar-el-campus-de-la-sede-lynch']
147,['https://www.untref.edu.ar/mundountref/en-la-colacion-de-grado-y-posgrado-martin-kaufmann-llamo-a-defender-la-universidad-publica']
148,['https://www.untref.edu.ar/mundountref/la-revista-ciencia-hoy-continuara-editandose-por-la-untref']
149,['https://www.untref.edu.ar/mundountref/ya-funciona-en-el-chalten-el-aerogenerador-creado-por-investigadores-de-la-untref']
150,['https://www.untref.edu.ar/mundountref/coctel-peligroso-aumento-del-crimen-e-insuficientes-respuestas-gubernamentales']
151,['https://www.untref.edu.ar/mundountref/untref-25-anos-como-se-gesto-una-nueva-identidad-universitaria-en-la-argentina']
152,['https://www.untref.edu.ar/mundountref/la-untref-y-el-municipio-de-tigre-firman-un-convenio-de-proteccion-medioambiental']
153,['https://www.untref.edu.ar/mundountref/empezo-el-nuevo-ciclo-de-conferencias-sobre-migraciones-internacionales']
154,['https://www.untref.edu.ar/mundountref/una-apuesta-necesaria-a-la-educacion-financiera-para-jovenes']
155,['https://www.untref.edu.ar/mundountref/cat/institucional']
156,['https://www.untref.edu.ar/mundountref/cat/academico']
157,['https://www.untref.edu.ar/mundountref/cat/internacional']
158,['https://www.untref.edu.ar/mundountref/cat/arte-cultura']
159,['https://www.untref.edu.ar/mundountref/cat/comunidad']
160,['https://www.untref.edu.ar/mundountref/cat/audiovisual']
161,['https://www.untref.edu.ar/mundountref/cat/podcast']
162,['https://www.untref.edu.ar/mundountref/la-untref-marcho-en-defensa-de-la-universidad-publica']
163,['https://www.untref.edu.ar/mundountref/consumo-problematico-de-juegos-y-apuestas-una-droga-digital-para-los-jovenes']
164,['https://www.untref.edu.ar/mundountref/la-untref-fue-sede-de-la-semana-de-las-artes']
165,['https://www.untref.edu.ar/mundountref/expountref-mas-de-1500-visitantes-y-un-fuerte-respaldo-a-la-educacion-publica']
166,['https://www.untref.edu.ar/mundountref/tags/bienalsur']
167,['https://www.untref.edu.ar/mundountref/lanzaron-la-convocatoria-abierta-internacional-rumbo-a-bienalsur-2025']
168,['https://www.untref.edu.ar/mundountref/espana-y-bienalsur-una-reflexion-critica-sobre-la-actualidad-desde-la-mirada-del-arte']
169,['https://www.untref.edu.ar/mundountref/la-untref-lleva-la-bienalsur-a-la-asamblea-anual-de-la-unesco']
170,['https://www.untref.edu.ar/mundountref/la-untref-dio-a-conocer-su-oferta-en-la-expouniversidades-2024']
171,['https://www.untref.edu.ar/mundountref/se-firmo-un-convenio-de-reciprocidad-con-la-universidad-politecnica-de-bucarest']
172,['https://www.untref.edu.ar/mundountref/3500-personas-vivieron-3f-corre-aventura-la-prueba-atletica-co-organizada-por-la-untref']
173,['https://www.untref.edu.ar/mundountref/adios-a-eduardo-jozami']
174,['https://www.untref.edu.ar/mundountref/articulos']
175,['https://www.untref.edu.ar/mundountref']
176,['https://www.untref.edu.ar/mundountref/daniel-link-la-inteligencia-artificial-carece-de-imaginacion']
177,['https://www.untref.edu.ar/mundountref/para-tomas-abraham-la-construccion-del-saber-es-una-accion-colectiva']
178,['https://www.untref.edu.ar/mundountref/gabriela-ricardes-destaco-el-rol-democratizador-del-arte-circense']
179,['https://www.untref.edu.ar']
180,['https://lingua.untref.edu.ar']
181,['https://untref.edu.ar/muntref/']
182,['https://untref.edu.ar/muntref/es/muestras/nuevo-vitral-de-luis-felipe-noe-en-muntref-inmigrantes/']
183,['https://untref.edu.ar/muntref/es/noticias/una-nueva-exposicion-en-el-centro-de-arte-contemporaneo-de-la-untref-recupera-el-arte-textil-argentino-de-la-segunda-mitad-del-siglo-xx/']
184,['https://untref.edu.ar/muntref/es/noticias/muntref-recorridos-virtuales-unicos-en-la-region/']
185,['https://untref.edu.ar/muntref/es']
186,['https://untref.edu.ar/muntref/es/autoridades-muntref']
187,['https://untref.edu.ar/muntref/es/acerca-de-muntref']
188,['https://untref.edu.ar/muntref/es/archivo-de-muestras/a2024']
189,['https://untref.edu.ar/muntref/es/recorridos-virtuales']
190,['https://untref.edu.ar/muntref/es/educacion']
191,['https://untref.edu.ar/muntref/es/ubicacion']
192,['https://untref.edu.ar/muntref/es/prensa']
193,['https://untref.edu.ar/muntref/es/contacto']
194,['https://untref.edu.ar/muntref/es/muestras/correspondencias-transmodales']
195,['https://untref.edu.ar/muntref/es/muestras/analisis-y-representacion-sensible-de-datos-ayrsd']
196,['https://untref.edu.ar/muntref/es/muestras/intercambios-transorganicos']
197,['https://untref.edu.ar/muntref/es/muestras/sierva-tecnociencia-al-servicio-de-aberracion-opticas']
198,['https://untref.edu.ar/muntref/es/noticias/colaboracion-con-el-museo-italiano-de-melbourne/']
199,['https://untref.edu.ar/muntref/es/muestras/baile-circular']
200,['https://untref.edu.ar/muntref/es/muestras/azucena-miralles-memoria-andina-archivo-del-arte-textil-en-buenos-aires-1963-1981']
201,['https://untref.edu.ar/muntref/es/muestras/entre-los-tiempos']
202,['https://untref.edu.ar/muntref/es/muestras/todo-y-nada-estan-ahi-para-ser-dichos']
203,['https://untref.edu.ar/muntref/es/muestras/del-mediterraneo-oriental-al-plata']
